SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Fuel Source - Primary,SCADAVALUE,MAX_CAP,utilisation_pct,REGION_RRP,Latitude,Longitude,Plant
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Snowtown Wind Farm Units 1 And 47 (SNOWTWN1),Snowtown Wind Farm Units 1 And 47,SNOWTWN1,SA1,Snowtown Wind Farm Pty Ltd,Wind,18.97,99.0,19.16,119.66,-33.83,138.118611,Snowtown Wind Farm Units 1 And 47
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Starfish Hill Wind Farm (STARHLWF),Starfish Hill Wind Farm,STARHLWF,SA1,Starfish Hill Wind Farm Pty Ltd,Wind,12.6,35.0,36.0,119.66,-35.58,138.14,Starfish Hill Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Stockyard Hill Wind Farm (STOCKYD1),Stockyard Hill Wind Farm,STOCKYD1,VIC1,Stockyard Hill Wind Farm Pty Ltd,Wind,278.33,511.0,54.47,-1.0997,-37.535833,143.251389,Stockyard Hill Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Silverton Wind Farm (STWF1),Silverton Wind Farm,STWF1,NSW1,PARF Company 8 Pty Ltd as The Trustee for Silverton Project Trust,Wind,52.91,198.0,26.72,51.95,-37.683168,142.551678,Silverton Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Taralga Wind Farm (TARALGA1),Taralga Wind Farm,TARALGA1,NSW1,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Wind,66.53,106.0,62.76,51.95,-34.42352,149.826267,Taralga Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Wambo Wind Farm 1 (WAMBOWF1),Wambo Wind Farm 1,WAMBOWF1,QLD1,Stanwell Corporation Limited,Wind,20.07,245.0,8.19,42.99,-35.187301,149.524945,Wambo Wind Farm 1
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Waterloo Wind Farm (WATERLWF),Waterloo Wind Farm,WATERLWF,SA1,Waterloo Wind Farm Pty Ltd,Wind,61.5,130.0,47.31,119.66,-34.00094,138.911567,Waterloo Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Willogoleche Wind Farm (WGWF1),Willogoleche Wind Farm,WGWF1,SA1,Willogoleche Power Pty Ltd As The Trustee For The Willogoleche Operating Trust,Wind,54.8,119.0,46.05,119.66,-33.39,138.85,Willogoleche Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Woodlawn Wind Farm (WOODLWN1),Woodlawn Wind Farm,WOODLWN1,NSW1,Woodlawn Wind Pty Ltd,Wind,42.37,48.0,88.27,51.95,-35.08,149.62,Woodlawn Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Wattle Point Wind Farm (WPWF),Wattle Point Wind Farm,WPWF,SA1,AGL SA Generation Pty Limited,Wind,10.19,91.0,11.2,119.66,-35.111624,137.7219,Wattle Point Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,White Rock Wind Farm (WRWF1),White Rock Wind Farm,WRWF1,NSW1,White Rock Wind Farm Pty Ltd,Wind,26.84,172.0,15.6,51.95,-29.79,151.54,White Rock Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Yendon Wind Farm (YENDWF1),Yendon Wind Farm,YENDWF1,VIC1,Lal Lal Wind Farms Nom Co Pty Ltd,Wind,94.47,142.0,66.53,-1.0997,-37.629987,144.022717,Yendon Wind Farm
